date,opponent,time,channel
"Wed, Oct 25",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",minnesota timberwolves,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",washington wizards,7:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 9",orlando magic,9:30 PM,['NBA TV']
"Sat, Nov 11",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",philadelphia 76ers,7:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",boston celtics,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",denver nuggets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",cleveland cavaliers,7:30 PM,['NBA TV']
"Mon, Dec 18",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",memphis grizzlies,7:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",sacramento kings,7:30 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",washington wizards,3:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",oklahoma city thunder,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",philadelphia 76ers,7:30 PM,['ESPN']
"Fri, Jan 12",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",washington wizards,7:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",san antonio spurs,3:30 PM,['TNT']
"Wed, Jan 17",orlando magic,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",sacramento kings,10:00 PM,['NBA TV']
"Wed, Jan 24",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",dallas mavericks,7:00 PM,['NBA TV']
"Sun, Jan 28",toronto raptors,6:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",los angeles lakers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",phoenix suns,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 3",golden state warriors,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",la clippers,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",boston celtics,7:30 PM,['ESPN']
"Fri, Feb 9",philadelphia 76ers,7:00 PM,['NBA TV']
"Sat, Feb 10",houston rockets,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",chicago bulls,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",utah jazz,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Mar 2",brooklyn nets,3:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 5",new york knicks,7:30 PM,['TNT']
"Wed, Mar 6",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 8",memphis grizzlies,7:30 PM,['ESPN']
"Sun, Mar 10",new orleans pelicans,6:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 15",utah jazz,9:30 PM,['NBA TV']
"Sun, Mar 17",la clippers,9:30 PM,['NBA TV']
"Mon, Mar 18",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 21",phoenix suns,10:30 PM,['NBA TV']
"Sat, Mar 23",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",boston celtics,7:30 PM,['NBA TV']
"Wed, Mar 27",portland trail blazers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 28",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Sat, Mar 30",milwaukee bucks,7:30 PM,['NBA TV']
"Mon, Apr 1",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
