date,opponent,time,channel
"Wed, Oct 25",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",boston celtics,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",milwaukee bucks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",la clippers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",boston celtics,7:30 PM,['ESPN']
"Sun, Nov 12",washington wizards,3:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",orlando magic,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 16",miami heat,7:30 PM,['NBA TV']
"Sun, Nov 19",philadelphia 76ers,3:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",miami heat,6:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",chicago bulls,7:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",golden state warriors,8:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",denver nuggets,7:30 PM,['NBA TV']
"Sat, Dec 23",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 27",milwaukee bucks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",oklahoma city thunder,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",oklahoma city thunder,7:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",portland trail blazers,3:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",cleveland cavaliers,2:00 PM,['NBA TV']
"Mon, Jan 15",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 21",la clippers,3:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",new york knicks,7:30 PM,['TNT']
"Thu, Jan 25",minnesota timberwolves,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",houston rockets,6:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",utah jazz,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",phoenix suns,7:30 PM,['ESPN']
"Sat, Feb 3",philadelphia 76ers,6:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",golden state warriors,7:30 PM,['NBA TV']
"Tue, Feb 6",dallas mavericks,7:30 PM,['TNT']
"Thu, Feb 8",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",san antonio spurs,6:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 13",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 24",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 26",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Mar 2",atlanta hawks,3:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 4",memphis grizzlies,7:30 PM,['NBA LEAGUE PASS']
"Tue, Mar 5",philadelphia 76ers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 9",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 10",cleveland cavaliers,7:00 PM,['ESPN']
"Wed, Mar 13",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 16",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 17",san antonio spurs,7:00 PM,['NBA TV']
"Tue, Mar 19",new orleans pelicans,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 21",milwaukee bucks,8:00 PM,['NBA TV']
"Sat, Mar 23",new york knicks,1:00 PM,['NBA LEAGUE PASS']
