date,opponent,time,channel
"Wed, Oct 25",new york knicks,7:00 PM,['ESPN']
"Fri, Oct 27",miami heat,7:30 PM,['ESPN']
"Mon, Oct 30",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",brooklyn nets,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",brooklyn nets,7:30 PM,['ESPN']
"Sat, Nov 11",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",new york knicks,7:30 PM,['NBA TV']
"Wed, Nov 15",philadelphia 76ers,7:30 PM,['ESPN']
"Fri, Nov 17",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",milwaukee bucks,7:30 PM,['ESPN']
"Fri, Nov 24",orlando magic,2:30 PM,['NBA TV']
"Sun, Nov 26",atlanta hawks,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",chicago bulls,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",philadelphia 76ers,7:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",cleveland cavaliers,7:30 PM,['NBA TV']
"Fri, Dec 15",orlando magic,7:30 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",orlando magic,3:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 19",golden state warriors,10:00 PM,['TNT']
"Wed, Dec 20",sacramento kings,10:00 PM,['NBA TV']
"Sat, Dec 23",la clippers,3:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",los angeles lakers,5:00 PM,"['ABC', 'ESPN']"
"Thu, Dec 28",detroit pistons,7:30 PM,['NBA TV']
"Fri, Dec 29",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",san antonio spurs,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",utah jazz,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 6",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",milwaukee bucks,7:30 PM,['TNT']
"Sat, Jan 13",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",san antonio spurs,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",denver nuggets,7:30 PM,['ESPN']
"Sun, Jan 21",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",miami heat,7:30 PM,['TNT']
"Sat, Jan 27",la clippers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",new orleans pelicans,7:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",indiana pacers,7:30 PM,['TNT']
"Thu, Feb 1",los angeles lakers,7:30 PM,['TNT']
"Sun, Feb 4",memphis grizzlies,6:00 PM,['ESPN']
"Wed, Feb 7",atlanta hawks,7:30 PM,['ESPN']
"Fri, Feb 9",washington wizards,7:30 PM,['NBA LEAGUE PASS']
"Sun, Feb 11",miami heat,2:00 PM,['ABC']
"Tue, Feb 13",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 24",new york knicks,8:30 PM,['ABC']
"Tue, Feb 27",philadelphia 76ers,7:30 PM,['TNT']
"Fri, Mar 1",dallas mavericks,7:30 PM,['ESPN']
"Sun, Mar 3",golden state warriors,3:30 PM,['ABC']
"Tue, Mar 5",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",denver nuggets,10:00 PM,['TNT']
"Sat, Mar 9",phoenix suns,8:30 PM,['ABC']
"Mon, Mar 11",portland trail blazers,10:30 PM,['NBA TV']
"Tue, Mar 12",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 14",phoenix suns,7:30 PM,['TNT']
"Sun, Mar 17",washington wizards,6:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 18",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Wed, Mar 20",milwaukee bucks,7:30 PM,['ESPN']
"Fri, Mar 22",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",atlanta hawks,7:30 PM,['NBA TV']
"Thu, Mar 28",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Mar 30",new orleans pelicans,5:00 PM,['NBA TV']
"Mon, Apr 1",charlotte hornets,7:00 PM,['NBA TV']
"Wed, Apr 3",oklahoma city thunder,7:30 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",sacramento kings,7:30 PM,['NBA TV']
"Sun, Apr 7",portland trail blazers,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",milwaukee bucks,7:30 PM,['TNT']
"Thu, Apr 11",new york knicks,7:30 PM,['TNT']
"Fri, Apr 12",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",washington wizards,1:00 PM,['NBA LEAGUE PASS']
