date,opponent,time,channel
"Wed, Oct 25",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 5",dallas mavericks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",new york knicks,12:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",miami heat,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",new york knicks,6:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",minnesota timberwolves,5:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",miami heat,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",denver nuggets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",la clippers,10:30 PM,['NBA TV']
"Thu, Dec 28",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",sacramento kings,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",san antonio spurs,10:00 PM,['ESPN']
"Sun, Jan 14",miami heat,6:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",san antonio spurs,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",utah jazz,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",indiana pacers,6:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",los angeles lakers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 9",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",memphis grizzlies,7:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 3",toronto raptors,6:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 5",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 8",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 9",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 11",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 15",phoenix suns,7:00 PM,['NBA TV']
"Sat, Mar 16",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 19",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",golden state warriors,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",la clippers,6:00 PM,['NBA LEAGUE PASS']
"Mon, Apr 1",boston celtics,7:00 PM,['NBA TV']
"Wed, Apr 3",portland trail blazers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",oklahoma city thunder,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",dallas mavericks,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 10",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Apr 12",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",cleveland cavaliers,1:00 PM,['NBA LEAGUE PASS']
