date,opponent,time,channel
"Wed, Oct 25",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",toronto raptors,8:00 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",brooklyn nets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",denver nuggets,9:00 PM,['NBA TV']
"Mon, Nov 6",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",los angeles lakers,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",cleveland cavaliers,8:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 28",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",philadelphia 76ers,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",philadelphia 76ers,7:00 PM,['NBA TV']
"Wed, Jan 3",new york knicks,7:30 PM,['ESPN']
"Fri, Jan 5",charlotte hornets,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",golden state warriors,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",toronto raptors,7:30 PM,['TNT']
"Sat, Jan 20",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 28",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",toronto raptors,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 3",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",cleveland cavaliers,7:30 PM,['ESPN']
"Thu, Feb 22",boston celtics,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 28",cleveland cavaliers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",milwaukee bucks,10:00 PM,['ESPN']
"Mon, Mar 4",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 6",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 9",la clippers,4:00 PM,['NBA TV']
"Mon, Mar 11",dallas mavericks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 14",la clippers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 16",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 18",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 21",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",boston celtics,8:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Mon, Apr 1",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",new york knicks,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",new york knicks,8:00 PM,['NBA LEAGUE PASS']
"Thu, Apr 11",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 12",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",new york knicks,1:00 PM,['NBA LEAGUE PASS']
