date,opponent,time,channel
"Wed, Oct 25",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",oklahoma city thunder,7:30 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Tue, Oct 31",new york knicks,7:30 PM,['TNT']
"Wed, Nov 1",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 5",golden state warriors,6:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 11",golden state warriors,8:30 PM,['NBA TV']
"Mon, Nov 13",sacramento kings,10:00 PM,['NBA TV']
"Wed, Nov 15",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",denver nuggets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",philadelphia 76ers,7:30 PM,['TNT']
"Wed, Nov 22",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",los angeles lakers,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",portland trail blazers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",boston celtics,7:30 PM,['NBA TV']
"Sat, Dec 16",atlanta hawks,7:30 PM,['NBA TV']
"Mon, Dec 18",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",utah jazz,7:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",new orleans pelicans,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 27",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",milwaukee bucks,7:30 PM,['NBA TV']
"Mon, Jan 1",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",washington wizards,7:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",san antonio spurs,1:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",brooklyn nets,2:00 PM,['NBA TV']
"Mon, Jan 15",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",milwaukee bucks,7:30 PM,['ESPN']
"Sat, Jan 20",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",la clippers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 1",memphis grizzlies,10:00 PM,['TNT']
"Sat, Feb 3",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",sacramento kings,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",chicago bulls,7:30 PM,['ESPN']
"Thu, Feb 22",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",philadelphia 76ers,7:30 PM,['ESPN']
