date,opponent,time,channel
"Wed, Oct 25",san antonio spurs,9:30 PM,['ESPN']
"Fri, Oct 27",brooklyn nets,8:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",chicago bulls,8:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",denver nuggets,10:00 PM,['ESPN']
"Sun, Nov 5",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",toronto raptors,8:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",la clippers,8:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",milwaukee bucks,8:00 PM,['NBA TV']
"Sun, Nov 19",sacramento kings,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",la clippers,10:30 PM,['NBA TV']
"Tue, Nov 28",houston rockets,8:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",memphis grizzlies,7:30 PM,['ESPN']
"Sat, Dec 2",oklahoma city thunder,9:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",memphis grizzlies,8:00 PM,['NBA TV']
"Tue, Dec 12",los angeles lakers,7:30 PM,['TNT']
"Thu, Dec 14",minnesota timberwolves,8:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",denver nuggets,9:00 PM,['NBA TV']
"Wed, Dec 20",la clippers,8:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",phoenix suns,10:30 PM,['ESPN']
"Wed, Dec 27",cleveland cavaliers,8:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 28",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",golden state warriors,8:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",portland trail blazers,8:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",portland trail blazers,8:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",minnesota timberwolves,7:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",memphis grizzlies,8:30 PM,['NBA TV']
"Thu, Jan 11",new york knicks,8:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",new orleans pelicans,8:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",new orleans pelicans,2:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",los angeles lakers,10:00 PM,['ESPN']
"Fri, Jan 19",golden state warriors,10:00 PM,['ESPN']
"Mon, Jan 22",boston celtics,8:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",phoenix suns,10:00 PM,['ESPN']
"Fri, Jan 26",atlanta hawks,7:00 PM,['NBA TV']
"Sat, Jan 27",sacramento kings,9:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",orlando magic,8:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 3",milwaukee bucks,8:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",brooklyn nets,7:30 PM,['TNT']
"Thu, Feb 8",new york knicks,7:30 PM,['TNT']
"Sat, Feb 10",oklahoma city thunder,3:00 PM,['NBA TV']
"Mon, Feb 12",washington wizards,8:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",phoenix suns,7:30 PM,['TNT']
"Sun, Feb 25",indiana pacers,5:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 28",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",boston celtics,7:30 PM,['ESPN']
"Sun, Mar 3",philadelphia 76ers,1:00 PM,['ABC']
"Tue, Mar 5",indiana pacers,8:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",miami heat,7:30 PM,['TNT']
"Sat, Mar 9",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 11",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",golden state warriors,8:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 14",oklahoma city thunder,10:00 PM,['TNT']
"Sun, Mar 17",denver nuggets,3:30 PM,['ABC']
"Tue, Mar 19",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 21",utah jazz,8:30 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 26",sacramento kings,10:00 PM,['TNT']
"Fri, Mar 29",sacramento kings,10:00 PM,['NBA TV']
"Sun, Mar 31",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",golden state warriors,7:30 PM,['TNT']
"Fri, Apr 5",atlanta hawks,8:30 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",houston rockets,3:30 PM,['NBA TV']
"Tue, Apr 9",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 10",miami heat,7:30 PM,['ESPN']
"Fri, Apr 12",detroit pistons,8:30 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",oklahoma city thunder,3:30 PM,['NBA LEAGUE PASS']
