date,opponent,time,channel
"Tue, Oct 24",los angeles lakers,7:30 PM,['TNT']
"Fri, Oct 27",memphis grizzlies,7:00 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",oklahoma city thunder,3:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",dallas mavericks,10:00 PM,['ESPN']
"Sat, Nov 4",chicago bulls,9:00 PM,['NBA TV']
"Mon, Nov 6",new orleans pelicans,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",golden state warriors,10:00 PM,['ESPN']
"Sun, Nov 12",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",la clippers,10:00 PM,['TNT']
"Fri, Nov 17",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",cleveland cavaliers,6:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",la clippers,10:30 PM,['NBA TV']
"Wed, Nov 29",houston rockets,9:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",phoenix suns,10:00 PM,['ESPN']
"Sat, Dec 2",sacramento kings,10:00 PM,['NBA TV']
"Mon, Dec 11",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",brooklyn nets,9:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",oklahoma city thunder,9:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",dallas mavericks,9:00 PM,['NBA TV']
"Wed, Dec 20",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",brooklyn nets,7:30 PM,['NBA TV']
"Sat, Dec 23",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",golden state warriors,2:30 PM,"['ABC', 'ESPN']"
"Thu, Dec 28",memphis grizzlies,9:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",oklahoma city thunder,9:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",charlotte hornets,9:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 4",golden state warriors,10:00 PM,['TNT']
"Fri, Jan 5",orlando magic,9:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",new orleans pelicans,9:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 14",indiana pacers,3:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 16",philadelphia 76ers,7:30 PM,['TNT']
"Fri, Jan 19",boston celtics,7:30 PM,['ESPN']
"Sun, Jan 21",washington wizards,6:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",philadelphia 76ers,5:30 PM,['ABC']
"Mon, Jan 29",milwaukee bucks,9:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",oklahoma city thunder,10:00 PM,['ESPN']
"Fri, Feb 2",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",portland trail blazers,8:30 PM,['NBA TV']
"Thu, Feb 8",los angeles lakers,10:00 PM,['TNT']
"Fri, Feb 9",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",sacramento kings,9:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",washington wizards,9:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",golden state warriors,7:00 PM,['ESPN']
"Wed, Feb 28",sacramento kings,9:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",miami heat,10:00 PM,['TNT']
"Sat, Mar 2",los angeles lakers,8:30 PM,['ABC']
"Tue, Mar 5",phoenix suns,10:00 PM,['TNT']
"Thu, Mar 7",boston celtics,10:00 PM,['TNT']
"Sat, Mar 9",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 11",toronto raptors,9:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",miami heat,7:30 PM,['ESPN']
"Fri, Mar 15",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 17",dallas mavericks,3:30 PM,['ABC']
"Tue, Mar 19",minnesota timberwolves,9:00 PM,['NBA TV']
"Thu, Mar 21",new york knicks,9:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",memphis grizzlies,9:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",phoenix suns,10:00 PM,['ESPN']
"Fri, Mar 29",minnesota timberwolves,9:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",cleveland cavaliers,3:30 PM,['NBA TV']
"Tue, Apr 2",san antonio spurs,9:00 PM,['NBA LEAGUE PASS']
"Thu, Apr 4",la clippers,10:00 PM,['TNT']
"Sat, Apr 6",atlanta hawks,9:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 10",minnesota timberwolves,10:00 PM,['ESPN']
"Fri, Apr 12",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",memphis grizzlies,3:30 PM,['NBA LEAGUE PASS']
