date,opponent,time,channel
"Wed, Oct 25",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",portland trail blazers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 2",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 5",phoenix suns,3:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",golden state warriors,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",toronto raptors,4:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",denver nuggets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",los angeles lakers,7:00 PM,['NBA TV']
"Thu, Nov 30",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",milwaukee bucks,6:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",utah jazz,7:00 PM,['NBA TV']
"Sat, Dec 23",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 28",boston celtics,7:30 PM,['NBA TV']
"Sat, Dec 30",toronto raptors,6:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",sacramento kings,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",san antonio spurs,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",houston rockets,7:30 PM,['ESPN']
"Mon, Jan 15",washington wizards,3:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",milwaukee bucks,3:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",washington wizards,12:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 28",oklahoma city thunder,6:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",la clippers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",orlando magic,3:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",la clippers,3:30 PM,['NBA LEAGUE PASS']
"Tue, Feb 13",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 24",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 26",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 3",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 5",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 9",dallas mavericks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 11",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 15",miami heat,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 17",miami heat,3:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 18",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Wed, Mar 20",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 22",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 24",new orleans pelicans,3:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Mon, Apr 1",memphis grizzlies,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 3",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sat, Apr 6",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Apr 11",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 12",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",san antonio spurs,3:30 PM,['NBA LEAGUE PASS']
