date,opponent,time,channel
"Tue, Oct 24",phoenix suns,10:00 PM,['TNT']
"Fri, Oct 27",sacramento kings,10:00 PM,['ESPN']
"Sun, Oct 29",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",new orleans pelicans,8:00 PM,['NBA TV']
"Wed, Nov 1",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 5",cleveland cavaliers,6:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",denver nuggets,10:00 PM,['ESPN']
"Sat, Nov 11",cleveland cavaliers,8:30 PM,['NBA TV']
"Sun, Nov 12",minnesota timberwolves,8:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",minnesota timberwolves,10:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 16",oklahoma city thunder,10:00 PM,['NBA TV']
"Sat, Nov 18",oklahoma city thunder,8:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",houston rockets,10:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",phoenix suns,10:00 PM,['ESPN']
"Fri, Nov 24",san antonio spurs,10:00 PM,['ESPN']
"Tue, Nov 28",sacramento kings,10:00 PM,['TNT']
"Thu, Nov 30",la clippers,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",la clippers,4:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",phoenix suns,10:00 PM,['TNT']
"Thu, Dec 14",la clippers,10:30 PM,['NBA TV']
"Sat, Dec 16",brooklyn nets,8:30 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 19",boston celtics,10:00 PM,['TNT']
"Fri, Dec 22",washington wizards,10:00 PM,['ESPN']
"Sat, Dec 23",portland trail blazers,8:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",denver nuggets,2:30 PM,"['ABC', 'ESPN']"
"Thu, Dec 28",miami heat,10:00 PM,['NBA TV']
"Sat, Dec 30",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",orlando magic,10:00 PM,['NBA TV']
"Thu, Jan 4",denver nuggets,10:00 PM,['TNT']
"Fri, Jan 5",detroit pistons,10:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",toronto raptors,8:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",new orleans pelicans,10:00 PM,['ESPN']
"Fri, Jan 12",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",milwaukee bucks,8:00 PM,['NBA TV']
"Mon, Jan 15",memphis grizzlies,6:00 PM,['TNT']
"Wed, Jan 17",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",dallas mavericks,10:00 PM,['ESPN']
"Wed, Jan 24",atlanta hawks,10:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",sacramento kings,10:00 PM,['TNT']
"Sat, Jan 27",los angeles lakers,8:30 PM,['ABC']
"Tue, Jan 30",philadelphia 76ers,10:00 PM,['TNT']
"Fri, Feb 2",memphis grizzlies,8:00 PM,['NBA TV']
"Sat, Feb 3",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",brooklyn nets,7:30 PM,['NBA TV']
"Wed, Feb 7",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",phoenix suns,8:30 PM,['ABC']
"Mon, Feb 12",utah jazz,9:00 PM,['NBA TV']
"Wed, Feb 14",la clippers,10:00 PM,['ESPN']
"Thu, Feb 22",los angeles lakers,10:00 PM,['TNT']
"Fri, Feb 23",charlotte hornets,10:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",denver nuggets,7:00 PM,['ESPN']
"Tue, Feb 27",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",new york knicks,7:30 PM,['TNT']
"Fri, Mar 1",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 3",boston celtics,3:30 PM,['ABC']
"Wed, Mar 6",milwaukee bucks,10:00 PM,['ESPN']
"Thu, Mar 7",chicago bulls,10:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 9",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Mon, Mar 11",san antonio spurs,8:00 PM,['NBA TV']
"Wed, Mar 13",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sat, Mar 16",los angeles lakers,8:30 PM,['ABC']
"Mon, Mar 18",new york knicks,10:00 PM,['ESPN']
"Wed, Mar 20",memphis grizzlies,10:00 PM,['ESPN']
"Fri, Mar 22",indiana pacers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 24",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 26",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",san antonio spurs,7:00 PM,['NBA TV']
"Tue, Apr 2",dallas mavericks,7:30 PM,['TNT']
"Thu, Apr 4",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",utah jazz,8:30 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",los angeles lakers,10:00 PM,['TNT']
"Thu, Apr 11",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 12",new orleans pelicans,10:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",utah jazz,3:30 PM,['NBA LEAGUE PASS']
