date,opponent,time,channel
"Wed, Oct 25",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",golden state warriors,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",charlotte hornets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",los angeles lakers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",denver nuggets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",los angeles lakers,9:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",dallas mavericks,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",indiana pacers,8:00 PM,['NBA TV']
"Wed, Dec 27",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",philadelphia 76ers,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",brooklyn nets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 6",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",detroit pistons,7:30 PM,['ESPN']
"Sat, Jan 13",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",philadelphia 76ers,1:00 PM,['NBA TV']
"Wed, Jan 17",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 21",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",brooklyn nets,6:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",los angeles lakers,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",toronto raptors,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 9",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",new york knicks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",oklahoma city thunder,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 2",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 5",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 6",la clippers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 8",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 10",sacramento kings,6:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 12",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 14",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 16",cleveland cavaliers,5:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 19",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 21",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",utah jazz,9:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",dallas mavericks,7:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Thu, Apr 4",golden state warriors,8:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",dallas mavericks,3:30 PM,['NBA TV']
"Tue, Apr 9",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Thu, Apr 11",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 12",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",la clippers,3:30 PM,['NBA LEAGUE PASS']
