date,opponent,time,channel
"Wed, Oct 25",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",san antonio spurs,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",utah jazz,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 9",milwaukee bucks,7:00 PM,['NBA TV']
"Sun, Nov 12",philadelphia 76ers,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",orlando magic,5:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",portland trail blazers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",miami heat,7:30 PM,['NBA TV']
"Sat, Dec 2",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",la clippers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",houston rockets,8:00 PM,['NBA TV']
"Thu, Dec 28",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 6",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 14",denver nuggets,3:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 21",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",denver nuggets,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",phoenix suns,7:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 28",memphis grizzlies,3:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",boston celtics,7:30 PM,['TNT']
"Thu, Feb 1",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",sacramento kings,7:30 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",charlotte hornets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",golden state warriors,7:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
