date,opponent,time,channel
"Wed, Oct 25",portland trail blazers,10:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",utah jazz,9:30 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",san antonio spurs,9:00 PM,['NBA LEAGUE PASS']
"Tue, Oct 31",orlando magic,10:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",los angeles lakers,10:00 PM,['ESPN']
"Mon, Nov 6",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",memphis grizzlies,3:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",denver nuggets,10:00 PM,['TNT']
"Fri, Nov 17",houston rockets,10:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",new orleans pelicans,10:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",dallas mavericks,10:30 PM,['NBA TV']
"Mon, Nov 27",denver nuggets,10:30 PM,['NBA TV']
"Wed, Nov 29",sacramento kings,10:00 PM,['NBA TV']
"Thu, Nov 30",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",golden state warriors,4:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",portland trail blazers,10:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",sacramento kings,10:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",golden state warriors,10:30 PM,['NBA TV']
"Sat, Dec 16",new york knicks,10:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",boston celtics,3:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",charlotte hornets,10:30 PM,['NBA TV']
"Fri, Dec 29",memphis grizzlies,10:30 PM,['NBA TV']
"Mon, Jan 1",miami heat,10:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",los angeles lakers,9:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",phoenix suns,10:30 PM,['NBA TV']
"Wed, Jan 10",toronto raptors,10:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 14",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 16",oklahoma city thunder,10:00 PM,['TNT']
"Sun, Jan 21",brooklyn nets,3:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",los angeles lakers,10:00 PM,['TNT']
"Fri, Jan 26",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",miami heat,6:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",new orleans pelicans,10:00 PM,['ESPN']
"Sat, Feb 10",detroit pistons,3:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",minnesota timberwolves,10:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",golden state warriors,10:00 PM,['ESPN']
"Thu, Feb 22",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
