date,opponent,time,channel
"Tue, Oct 24",denver nuggets,7:30 PM,['TNT']
"Thu, Oct 26",phoenix suns,10:00 PM,['TNT']
"Sun, Oct 29",sacramento kings,9:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",orlando magic,10:30 PM,['NBA TV']
"Wed, Nov 1",la clippers,10:00 PM,['ESPN']
"Sat, Nov 4",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",miami heat,7:30 PM,['NBA TV']
"Wed, Nov 8",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",phoenix suns,10:00 PM,['ESPN']
"Sun, Nov 12",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",memphis grizzlies,10:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",sacramento kings,10:00 PM,['ESPN']
"Fri, Nov 17",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",houston rockets,9:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",utah jazz,10:00 PM,['TNT']
"Wed, Nov 22",dallas mavericks,10:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",philadelphia 76ers,7:00 PM,['NBA TV']
"Wed, Nov 29",detroit pistons,7:00 PM,['NBA TV']
"Thu, Nov 30",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",houston rockets,10:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",dallas mavericks,7:30 PM,['TNT']
"Wed, Dec 13",san antonio spurs,8:00 PM,['NBA TV']
"Fri, Dec 15",san antonio spurs,7:30 PM,['ESPN']
"Mon, Dec 18",new york knicks,10:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",minnesota timberwolves,9:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",boston celtics,5:00 PM,"['ABC', 'ESPN']"
"Thu, Dec 28",charlotte hornets,10:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",miami heat,10:00 PM,['ESPN']
"Fri, Jan 5",memphis grizzlies,10:00 PM,['ESPN']
"Sun, Jan 7",la clippers,9:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",toronto raptors,10:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",phoenix suns,10:00 PM,['TNT']
"Sat, Jan 13",utah jazz,9:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",oklahoma city thunder,10:30 PM,['NBA TV']
"Wed, Jan 17",dallas mavericks,10:00 PM,['ESPN']
"Fri, Jan 19",brooklyn nets,10:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 21",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",la clippers,10:00 PM,['TNT']
"Thu, Jan 25",chicago bulls,10:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",golden state warriors,8:30 PM,['ABC']
"Mon, Jan 29",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 1",boston celtics,7:30 PM,['TNT']
"Sat, Feb 3",new york knicks,8:30 PM,['ABC']
"Mon, Feb 5",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",denver nuggets,10:00 PM,['TNT']
"Fri, Feb 9",new orleans pelicans,10:30 PM,['NBA TV']
"Tue, Feb 13",detroit pistons,10:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",golden state warriors,10:00 PM,['TNT']
"Fri, Feb 23",san antonio spurs,10:30 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",phoenix suns,3:30 PM,['ABC']
"Wed, Feb 28",la clippers,10:00 PM,['ESPN']
"Thu, Feb 29",washington wizards,10:30 PM,['NBA LEAGUE PASS']
"Sat, Mar 2",denver nuggets,8:30 PM,['ABC']
"Mon, Mar 4",oklahoma city thunder,10:30 PM,['NBA TV']
"Wed, Mar 6",sacramento kings,10:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 8",milwaukee bucks,10:00 PM,['ESPN']
"Sun, Mar 10",minnesota timberwolves,9:30 PM,['ESPN']
"Wed, Mar 13",sacramento kings,10:00 PM,['ESPN']
"Sat, Mar 16",golden state warriors,8:30 PM,['ABC']
"Mon, Mar 18",atlanta hawks,10:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 22",philadelphia 76ers,10:30 PM,['NBA TV']
"Sun, Mar 24",indiana pacers,10:00 PM,['NBA TV']
"Tue, Mar 26",milwaukee bucks,7:30 PM,['TNT']
"Wed, Mar 27",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",brooklyn nets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 3",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Apr 6",cleveland cavaliers,3:30 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",minnesota timberwolves,10:00 PM,['NBA TV']
"Tue, Apr 9",golden state warriors,10:00 PM,['TNT']
"Fri, Apr 12",memphis grizzlies,8:00 PM,['NBA TV']
"Sun, Apr 14",new orleans pelicans,3:30 PM,['NBA LEAGUE PASS']
