date,opponent,time,channel
"Wed, Oct 25",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",boston celtics,7:30 PM,['ESPN']
"Sat, Oct 28",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",los angeles lakers,7:30 PM,['NBA TV']
"Wed, Nov 8",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 11",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",san antonio spurs,7:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 16",brooklyn nets,7:30 PM,['NBA TV']
"Sat, Nov 18",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",new york knicks,7:30 PM,['ESPN']
"Sat, Nov 25",brooklyn nets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",milwaukee bucks,7:30 PM,['TNT']
"Thu, Nov 30",indiana pacers,7:30 PM,['NBA TV']
"Sat, Dec 2",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",chicago bulls,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",minnesota timberwolves,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",philadelphia 76ers,8:00 PM,['ESPN']
"Thu, Dec 28",golden state warriors,10:00 PM,['NBA TV']
"Sat, Dec 30",utah jazz,5:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",los angeles lakers,10:00 PM,['ESPN']
"Fri, Jan 5",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",houston rockets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",oklahoma city thunder,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 14",charlotte hornets,6:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 19",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 21",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",memphis grizzlies,7:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",boston celtics,7:30 PM,['TNT']
"Sat, Jan 27",new york knicks,3:00 PM,['ABC']
"Mon, Jan 29",phoenix suns,7:30 PM,['NBA TV']
"Wed, Jan 31",sacramento kings,7:30 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",la clippers,6:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",orlando magic,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",san antonio spurs,7:30 PM,['NBA LEAGUE PASS']
"Sun, Feb 11",boston celtics,2:00 PM,['ABC']
"Tue, Feb 13",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",new orleans pelicans,10:00 PM,['ESPN']
"Mon, Feb 26",sacramento kings,10:00 PM,['NBA TV']
"Tue, Feb 27",portland trail blazers,10:00 PM,['TNT']
"Thu, Feb 29",denver nuggets,10:00 PM,['TNT']
"Sat, Mar 2",utah jazz,5:00 PM,['NBA TV']
"Tue, Mar 5",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",dallas mavericks,7:30 PM,['TNT']
"Fri, Mar 8",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 10",washington wizards,6:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",denver nuggets,7:30 PM,['ESPN']
"Fri, Mar 15",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 17",detroit pistons,3:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 18",philadelphia 76ers,7:30 PM,['ESPN']
"Wed, Mar 20",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 22",new orleans pelicans,8:00 PM,['NBA TV']
"Sun, Mar 24",cleveland cavaliers,6:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 26",golden state warriors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",washington wizards,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Thu, Apr 4",philadelphia 76ers,7:30 PM,['TNT']
"Fri, Apr 5",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",indiana pacers,5:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Apr 10",dallas mavericks,7:30 PM,['ESPN']
"Fri, Apr 12",toronto raptors,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",toronto raptors,1:00 PM,['NBA LEAGUE PASS']
