date,opponent,time,channel
"Thu, Oct 26",philadelphia 76ers,7:30 PM,['TNT']
"Sun, Oct 29",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",new york knicks,7:30 PM,['ESPN']
"Mon, Nov 6",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 9",indiana pacers,7:00 PM,['NBA TV']
"Sat, Nov 11",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",dallas mavericks,8:00 PM,['NBA TV']
"Mon, Nov 20",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",boston celtics,7:30 PM,['ESPN']
"Fri, Nov 24",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",portland trail blazers,3:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",miami heat,7:30 PM,['TNT']
"Thu, Nov 30",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",detroit pistons,6:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 19",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",new york knicks,12:30 PM,['NBA TV']
"Mon, Dec 25",new york knicks,12:00 PM,['ESPN']
"Wed, Dec 27",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",cleveland cavaliers,7:30 PM,['NBA TV']
"Mon, Jan 1",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 4",san antonio spurs,7:30 PM,['TNT']
"Sat, Jan 6",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",boston celtics,7:30 PM,['TNT']
"Sat, Jan 13",golden state warriors,8:00 PM,['NBA TV']
"Sun, Jan 14",sacramento kings,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",cleveland cavaliers,7:30 PM,['ESPN']
"Sat, Jan 20",detroit pistons,3:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",cleveland cavaliers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",cleveland cavaliers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 3",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",phoenix suns,10:00 PM,['TNT']
"Thu, Feb 8",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 9",charlotte hornets,8:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 13",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 15",memphis grizzlies,8:30 PM,['TNT']
"Fri, Feb 23",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",philadelphia 76ers,1:00 PM,['ABC']
"Tue, Feb 27",charlotte hornets,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",chicago bulls,10:00 PM,['ESPN']
