date,opponent,time,channel
"Wed, Oct 25",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",boston celtics,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",golden state warriors,8:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",new york knicks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",philadelphia 76ers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",memphis grizzlies,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",charlotte hornets,5:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",philadelphia 76ers,7:00 PM,['NBA TV']
"Thu, Dec 21",los angeles lakers,9:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 28",dallas mavericks,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",los angeles lakers,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",new york knicks,3:00 PM,['NBA TV']
"Wed, Jan 3",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",dallas mavericks,7:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 14",la clippers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",memphis grizzlies,10:00 PM,['TNT']
"Sat, Jan 20",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",charlotte hornets,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",dallas mavericks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Tue, Feb 13",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 15",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
