date,opponent,time,channel
"Wed, Oct 25",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",new york knicks,7:00 PM,['NBA TV']
"Mon, Oct 30",golden state warriors,8:00 PM,['NBA TV']
"Wed, Nov 1",oklahoma city thunder,7:30 PM,['ESPN']
"Thu, Nov 2",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",dallas mavericks,7:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",dallas mavericks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",utah jazz,9:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",philadelphia 76ers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",san antonio spurs,3:30 PM,['NBA LEAGUE PASS']
