date,opponent,time,channel
"Wed, Oct 25",boston celtics,7:00 PM,['ESPN']
"Fri, Oct 27",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",new orleans pelicans,7:00 PM,['NBA TV']
"Tue, Oct 31",cleveland cavaliers,7:30 PM,['TNT']
"Wed, Nov 1",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",milwaukee bucks,7:30 PM,['ESPN']
"Mon, Nov 6",la clippers,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",san antonio spurs,7:30 PM,['ESPN']
"Sun, Nov 12",charlotte hornets,12:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",boston celtics,7:30 PM,['NBA TV']
"Wed, Nov 15",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 18",charlotte hornets,6:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",miami heat,7:30 PM,['ESPN']
"Sun, Nov 26",phoenix suns,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",detroit pistons,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",phoenix suns,10:00 PM,['ESPN']
"Sat, Dec 16",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",milwaukee bucks,12:30 PM,['NBA TV']
"Mon, Dec 25",milwaukee bucks,12:00 PM,['ESPN']
"Wed, Dec 27",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",minnesota timberwolves,3:00 PM,['NBA TV']
"Wed, Jan 3",chicago bulls,7:30 PM,['ESPN']
"Fri, Jan 5",philadelphia 76ers,7:30 PM,['ESPN']
"Sat, Jan 6",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",portland trail blazers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",orlando magic,3:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",houston rockets,7:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",washington wizards,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",brooklyn nets,7:30 PM,['TNT']
"Thu, Jan 25",denver nuggets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",miami heat,3:00 PM,['ABC']
"Mon, Jan 29",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",utah jazz,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 1",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 3",los angeles lakers,8:30 PM,['ABC']
"Tue, Feb 6",memphis grizzlies,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 8",dallas mavericks,7:30 PM,['TNT']
"Sat, Feb 10",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 24",boston celtics,8:30 PM,['ABC']
"Mon, Feb 26",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",new orleans pelicans,7:30 PM,['NBA LEAGUE PASS']
