date,opponent,time,channel
"Wed, Oct 25",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",denver nuggets,3:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",detroit pistons,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",new orleans pelicans,7:30 PM,['ESPN']
"Fri, Nov 3",golden state warriors,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",cleveland cavaliers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",san antonio spurs,7:30 PM,['TNT']
"Thu, Nov 16",golden state warriors,10:00 PM,['NBA TV']
"Sat, Nov 18",golden state warriors,8:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",philadelphia 76ers,5:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",los angeles lakers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",dallas mavericks,9:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",la clippers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",los angeles lakers,8:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 27",new york knicks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",boston celtics,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 11",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",los angeles lakers,10:30 PM,['NBA TV']
"Tue, Jan 16",la clippers,10:00 PM,['TNT']
"Thu, Jan 18",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 23",portland trail blazers,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",san antonio spurs,7:30 PM,['ESPN']
"Fri, Jan 26",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 28",detroit pistons,6:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",denver nuggets,10:00 PM,['ESPN']
"Fri, Feb 2",charlotte hornets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 6",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",dallas mavericks,3:00 PM,['NBA TV']
"Sun, Feb 11",sacramento kings,3:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 13",orlando magic,7:30 PM,['TNT']
"Thu, Feb 22",la clippers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 27",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 29",san antonio spurs,8:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 3",phoenix suns,9:30 PM,['ESPN']
"Mon, Mar 4",los angeles lakers,10:30 PM,['NBA TV']
"Wed, Mar 6",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 8",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 10",memphis grizzlies,7:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 12",indiana pacers,8:00 PM,['NBA LEAGUE PASS']
"Thu, Mar 14",dallas mavericks,10:00 PM,['TNT']
"Sat, Mar 16",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 20",utah jazz,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 22",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 24",milwaukee bucks,7:00 PM,['NBA TV']
"Tue, Mar 26",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 29",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 3",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",charlotte hornets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",sacramento kings,8:00 PM,['NBA LEAGUE PASS']
