date,opponent,time,channel
"Wed, Oct 25",houston rockets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",los angeles lakers,10:30 PM,['NBA TV']
"Tue, Oct 31",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 2",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",los angeles lakers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",dallas mavericks,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 9",atlanta hawks,9:30 PM,['NBA TV']
"Sat, Nov 11",milwaukee bucks,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",indiana pacers,5:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",denver nuggets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",boston celtics,2:30 PM,['NBA TV']
"Sun, Nov 26",charlotte hornets,6:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",boston celtics,3:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",miami heat,7:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 27",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",golden state warriors,10:00 PM,['NBA TV']
"Wed, Jan 3",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",atlanta hawks,6:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",new york knicks,3:00 PM,['NBA LEAGUE PASS']
