date,opponent,time,channel
"Thu, Oct 26",milwaukee bucks,7:30 PM,['TNT']
"Sat, Oct 28",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",portland trail blazers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Nov 2",toronto raptors,7:00 PM,['NBA TV']
"Sat, Nov 4",phoenix suns,1:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",indiana pacers,6:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",boston celtics,7:30 PM,['ESPN']
"Fri, Nov 17",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",brooklyn nets,3:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",cleveland cavaliers,7:30 PM,['TNT']
"Wed, Nov 22",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",oklahoma city thunder,5:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",los angeles lakers,7:00 PM,['NBA TV']
"Wed, Nov 29",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",chicago bulls,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",minnesota timberwolves,7:00 PM,['NBA TV']
"Fri, Dec 22",toronto raptors,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",miami heat,8:00 PM,['ESPN']
"Wed, Dec 27",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",chicago bulls,7:00 PM,['NBA TV']
"Fri, Jan 5",new york knicks,7:30 PM,['ESPN']
