date,opponent,time,channel
"Tue, Oct 24",golden state warriors,10:00 PM,['TNT']
"Thu, Oct 26",los angeles lakers,10:00 PM,['TNT']
"Sat, Oct 28",utah jazz,10:00 PM,['NBA TV']
"Tue, Oct 31",san antonio spurs,10:00 PM,['TNT']
"Thu, Nov 2",san antonio spurs,10:00 PM,['NBA TV']
"Sat, Nov 4",philadelphia 76ers,1:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 5",detroit pistons,3:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",los angeles lakers,10:00 PM,['ESPN']
"Sun, Nov 12",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",minnesota timberwolves,9:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",utah jazz,10:00 PM,['ESPN']
"Sun, Nov 19",utah jazz,8:00 PM,['NBA TV']
"Tue, Nov 21",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",golden state warriors,10:00 PM,['ESPN']
"Fri, Nov 24",memphis grizzlies,5:00 PM,['NBA TV']
"Sun, Nov 26",new york knicks,6:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",denver nuggets,10:00 PM,['ESPN']
"Sat, Dec 2",memphis grizzlies,9:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",golden state warriors,10:00 PM,['TNT']
"Wed, Dec 13",brooklyn nets,9:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",new york knicks,10:00 PM,['ESPN']
"Sun, Dec 17",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 19",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 25",dallas mavericks,10:30 PM,['ESPN']
"Wed, Dec 27",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",charlotte hornets,9:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",orlando magic,8:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",la clippers,9:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",miami heat,9:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
