date,opponent,time,channel
"Wed, Oct 25",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",orlando magic,10:00 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",philadelphia 76ers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",memphis grizzlies,10:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 5",memphis grizzlies,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",los angeles lakers,10:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",cleveland cavaliers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",los angeles lakers,10:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",oklahoma city thunder,9:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",utah jazz,10:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",milwaukee bucks,3:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",utah jazz,9:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",utah jazz,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",dallas mavericks,9:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",golden state warriors,9:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 19",phoenix suns,10:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",washington wizards,10:00 PM,['NBA TV']
