date,opponent,time,channel
"Wed, Oct 25",dallas mavericks,9:30 PM,['ESPN']
"Fri, Oct 27",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Oct 29",la clippers,9:00 PM,['NBA LEAGUE PASS']
"Tue, Oct 31",phoenix suns,10:00 PM,['TNT']
"Thu, Nov 2",phoenix suns,10:00 PM,['NBA TV']
"Sun, Nov 5",toronto raptors,3:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",new york knicks,7:30 PM,['ESPN']
"Fri, Nov 10",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",miami heat,7:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",oklahoma city thunder,7:30 PM,['TNT']
"Fri, Nov 17",sacramento kings,7:30 PM,['ESPN']
"Sat, Nov 18",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",la clippers,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",la clippers,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",golden state warriors,10:00 PM,['ESPN']
"Sun, Nov 26",denver nuggets,8:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",atlanta hawks,8:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",los angeles lakers,8:00 PM,['NBA TV']
"Fri, Dec 15",los angeles lakers,7:30 PM,['ESPN']
"Sun, Dec 17",new orleans pelicans,3:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 19",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",utah jazz,8:00 PM,['NBA LEAGUE PASS']
