date,opponent,time,channel
"Wed, Oct 25",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",golden state warriors,10:00 PM,['ESPN']
"Sun, Oct 29",los angeles lakers,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",golden state warriors,10:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",oklahoma city thunder,10:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",cleveland cavaliers,10:00 PM,['NBA TV']
"Wed, Nov 15",los angeles lakers,10:00 PM,['ESPN']
"Fri, Nov 17",san antonio spurs,7:30 PM,['ESPN']
"Sun, Nov 19",dallas mavericks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",golden state warriors,10:00 PM,['TNT']
"Wed, Nov 29",la clippers,10:00 PM,['NBA TV']
"Sat, Dec 2",denver nuggets,10:00 PM,['NBA TV']
"Mon, Dec 11",brooklyn nets,10:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 12",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",oklahoma city thunder,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",utah jazz,10:00 PM,['NBA TV']
"Mon, Dec 18",washington wizards,10:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",boston celtics,10:00 PM,['NBA TV']
"Fri, Dec 22",phoenix suns,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",minnesota timberwolves,10:00 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 29",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 2",charlotte hornets,10:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",orlando magic,10:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",toronto raptors,10:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",new orleans pelicans,6:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 14",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 16",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",indiana pacers,10:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",atlanta hawks,10:00 PM,['NBA TV']
"Thu, Jan 25",golden state warriors,10:00 PM,['TNT']
"Sat, Jan 27",dallas mavericks,9:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 3",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",detroit pistons,10:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 9",denver nuggets,10:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 11",oklahoma city thunder,3:00 PM,['NBA LEAGUE PASS']
"Tue, Feb 13",phoenix suns,10:00 PM,['TNT']
"Wed, Feb 14",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",san antonio spurs,10:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",la clippers,9:30 PM,['ESPN']
"Mon, Feb 26",miami heat,10:00 PM,['NBA TV']
"Wed, Feb 28",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 4",chicago bulls,10:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 6",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",san antonio spurs,10:00 PM,['NBA LEAGUE PASS']
"Sun, Mar 10",houston rockets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 12",milwaukee bucks,10:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",los angeles lakers,10:00 PM,['ESPN']
"Sat, Mar 16",new york knicks,10:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 18",memphis grizzlies,10:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 20",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 21",washington wizards,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",philadelphia 76ers,10:00 PM,['NBA TV']
"Tue, Mar 26",dallas mavericks,10:00 PM,['TNT']
"Fri, Mar 29",dallas mavericks,10:00 PM,['NBA TV']
"Sun, Mar 31",utah jazz,9:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",la clippers,10:00 PM,['TNT']
"Thu, Apr 4",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",boston celtics,7:30 PM,['NBA TV']
"Sun, Apr 7",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
