date,opponent,time,channel
"Wed, Oct 25",minnesota timberwolves,7:30 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",philadelphia 76ers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",portland trail blazers,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 2",philadelphia 76ers,7:00 PM,['NBA TV']
"Sun, Nov 5",san antonio spurs,3:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Sat, Nov 11",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",washington wizards,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",milwaukee bucks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 19",detroit pistons,4:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 21",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",chicago bulls,7:30 PM,['NBA LEAGUE PASS']
"Sun, Nov 26",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Tue, Nov 28",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",phoenix suns,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",charlotte hornets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",denver nuggets,7:30 PM,['NBA LEAGUE PASS']
"Fri, Dec 22",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 23",utah jazz,7:30 PM,['NBA LEAGUE PASS']
"Wed, Dec 27",washington wizards,7:00 PM,['NBA TV']
"Fri, Dec 29",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",detroit pistons,6:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 7",golden state warriors,8:30 PM,['NBA LEAGUE PASS']
"Tue, Jan 9",los angeles lakers,10:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",la clippers,10:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 12",utah jazz,9:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Wed, Jan 17",miami heat,7:30 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",chicago bulls,7:30 PM,['TNT']
"Sat, Jan 20",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 22",memphis grizzlies,7:30 PM,['NBA LEAGUE PASS']
"Fri, Jan 26",la clippers,7:30 PM,['NBA LEAGUE PASS']
"Sun, Jan 28",atlanta hawks,6:00 PM,['NBA LEAGUE PASS']
"Tue, Jan 30",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",houston rockets,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",oklahoma city thunder,7:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 5",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Wed, Feb 7",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 9",houston rockets,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",san antonio spurs,7:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",indiana pacers,7:30 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Feb 26",indiana pacers,7:00 PM,['NBA TV']
"Wed, Feb 28",dallas mavericks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 1",golden state warriors,7:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 3",charlotte hornets,6:00 PM,['NBA LEAGUE PASS']
"Tue, Mar 5",new orleans pelicans,7:30 PM,['NBA LEAGUE PASS']
"Thu, Mar 7",phoenix suns,9:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 9",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 11",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 13",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Fri, Mar 15",orlando magic,7:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 17",orlando magic,6:00 PM,['NBA LEAGUE PASS']
"Wed, Mar 20",sacramento kings,7:30 PM,['NBA LEAGUE PASS']
"Fri, Mar 22",oklahoma city thunder,7:00 PM,['NBA LEAGUE PASS']
"Sat, Mar 23",washington wizards,8:00 PM,['NBA LEAGUE PASS']
"Mon, Mar 25",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Wed, Mar 27",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Sun, Mar 31",philadelphia 76ers,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 2",los angeles lakers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 3",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Fri, Apr 5",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 7",washington wizards,6:00 PM,['NBA LEAGUE PASS']
"Tue, Apr 9",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Apr 10",brooklyn nets,7:30 PM,['NBA LEAGUE PASS']
"Fri, Apr 12",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Sun, Apr 14",miami heat,1:00 PM,['NBA LEAGUE PASS']
