date,opponent,time,channel
"Wed, Oct 25",sacramento kings,9:00 PM,['NBA LEAGUE PASS']
"Fri, Oct 27",la clippers,9:30 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",phoenix suns,10:00 PM,['NBA TV']
"Mon, Oct 30",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",memphis grizzlies,9:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 2",orlando magic,9:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 4",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",chicago bulls,8:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Tue, Nov 14",portland trail blazers,9:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",phoenix suns,10:00 PM,['ESPN']
"Sun, Nov 19",phoenix suns,8:00 PM,['NBA TV']
"Tue, Nov 21",los angeles lakers,10:00 PM,['TNT']
"Wed, Nov 22",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",new orleans pelicans,9:30 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",new orleans pelicans,9:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",memphis grizzlies,8:00 PM,['NBA LEAGUE PASS']
"Thu, Nov 30",minnesota timberwolves,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 2",portland trail blazers,9:30 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",new york knicks,9:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 14",portland trail blazers,10:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 16",sacramento kings,10:00 PM,['NBA TV']
"Mon, Dec 18",brooklyn nets,9:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 20",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",detroit pistons,7:00 PM,['NBA TV']
"Sat, Dec 23",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Tue, Dec 26",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 28",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Sat, Dec 30",miami heat,5:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 1",dallas mavericks,9:00 PM,['NBA LEAGUE PASS']
