date,opponent,time,channel
"Wed, Oct 25",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Oct 28",memphis grizzlies,7:00 PM,['NBA LEAGUE PASS']
"Mon, Oct 30",boston celtics,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 1",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Fri, Nov 3",miami heat,8:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 6",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 8",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 10",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Sun, Nov 12",brooklyn nets,3:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 13",toronto raptors,7:30 PM,['NBA LEAGUE PASS']
"Wed, Nov 15",dallas mavericks,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 17",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 20",milwaukee bucks,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 22",charlotte hornets,7:00 PM,['NBA LEAGUE PASS']
"Fri, Nov 24",milwaukee bucks,8:00 PM,['NBA LEAGUE PASS']
"Sat, Nov 25",atlanta hawks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Nov 27",detroit pistons,7:00 PM,['NBA LEAGUE PASS']
"Wed, Nov 29",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 1",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 11",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 13",new orleans pelicans,7:00 PM,['NBA LEAGUE PASS']
"Fri, Dec 15",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 17",phoenix suns,8:00 PM,['NBA LEAGUE PASS']
"Mon, Dec 18",sacramento kings,10:00 PM,['NBA LEAGUE PASS']
"Thu, Dec 21",portland trail blazers,10:00 PM,['NBA TV']
"Fri, Dec 22",golden state warriors,10:00 PM,['ESPN']
"Tue, Dec 26",orlando magic,7:00 PM,['NBA LEAGUE PASS']
"Wed, Dec 27",toronto raptors,7:00 PM,['NBA TV']
"Fri, Dec 29",brooklyn nets,7:00 PM,['NBA LEAGUE PASS']
"Sun, Dec 31",atlanta hawks,3:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 3",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Jan 5",cleveland cavaliers,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 6",new york knicks,7:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 8",oklahoma city thunder,7:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 10",indiana pacers,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 13",atlanta hawks,7:30 PM,['NBA LEAGUE PASS']
"Mon, Jan 15",detroit pistons,3:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 18",new york knicks,7:30 PM,['NBA LEAGUE PASS']
"Sat, Jan 20",san antonio spurs,7:00 PM,['NBA LEAGUE PASS']
"Sun, Jan 21",denver nuggets,6:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 24",minnesota timberwolves,7:00 PM,['NBA LEAGUE PASS']
"Thu, Jan 25",utah jazz,7:00 PM,['NBA LEAGUE PASS']
"Sat, Jan 27",detroit pistons,12:00 PM,['NBA LEAGUE PASS']
"Mon, Jan 29",san antonio spurs,8:00 PM,['NBA LEAGUE PASS']
"Wed, Jan 31",la clippers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 2",miami heat,7:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 4",phoenix suns,3:30 PM,['NBA TV']
"Wed, Feb 7",cleveland cavaliers,7:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 9",boston celtics,7:30 PM,['NBA LEAGUE PASS']
"Sat, Feb 10",philadelphia 76ers,7:00 PM,['NBA LEAGUE PASS']
"Mon, Feb 12",dallas mavericks,8:30 PM,['NBA LEAGUE PASS']
"Wed, Feb 14",new orleans pelicans,8:00 PM,['NBA LEAGUE PASS']
"Thu, Feb 22",denver nuggets,9:00 PM,['NBA LEAGUE PASS']
"Fri, Feb 23",oklahoma city thunder,8:00 PM,['NBA LEAGUE PASS']
"Sun, Feb 25",cleveland cavaliers,6:00 PM,['NBA LEAGUE PASS']
